"Producto que coincide ","Segmentaciones por producto","Agregado como","Impresiones","Clics","Tasa de clics (CTR)","Inversión(USD)","Costo por clic (CPC)(USD)","Pedidos","Ventas(USD)","ACOS","ROAS","Tasa de conversión"
"144247243x","loose-match","","13","1","7.69",0.59,0.59,"0",0,,"0.0","0.0"
"action fantasy books for teens","close-match","","3","2","66.67",2.46,1.23,"0",0,,"0.0","0.0"
"fantasy books for high schoolers","loose-match","","2","1","50.00",0.54,0.54,"0",0,,"0.0","0.0"
"teen christian novels","loose-match","","2","1","50.00",1.2,1.2,"0",0,,"0.0","0.0"
"1638680205","loose-match","","1","1","100.00",0.04,0.04,"0",0,,"0.0","0.0"
"teen boy action books","loose-match","","1","1","100.00",1.01,1.01,"0",0,,"0.0","0.0"
"teen reads","loose-match","","2","1","50.00",0.83,0.83,"0",0,,"0.0","0.0"
"best books for ages 14-16 years old","loose-match","","1","1","100.00",2.05,2.05,"0",0,,"0.0","0.0"
"top book series","loose-match","","2","1","50.00",1.01,1.01,"0",0,,"0.0","0.0"
"middle school books best sellers romance","loose-match","","1","1","100.00",1.19,1.19,"0",0,,"0.0","0.0"
"ya adult romance","loose-match","","2","1","50.00",0.15,0.15,"0",0,,"0.0","0.0"
"survival books for teens fiction","loose-match","","3","1","33.33",0.96,0.96,"0",0,,"0.0","0.0"
"fantasy books for adults book 1","close-match","","1","1","100.00",1.36,1.36,"0",0,,"0.0","0.0"
"action books for teens","close-match","","1","1","100.00",0.96,0.96,"0",0,,"0.0","0.0"
"free books on kindle unlimited ages 13","loose-match","","2","1","50.00",1.01,1.01,"0",0,,"0.0","0.0"
"top kindle unlimited books","loose-match","","1","1","100.00",2.08,2.08,"0",0,,"0.0","0.0"
"teen romance books 12-14","loose-match","","1","1","100.00",0.9,0.9,"0",0,,"0.0","0.0"
"kids 12-14 free","loose-match","","5","1","20.00",1.01,1.01,"0",0,,"0.0","0.0"
"13 year old female fiction books","loose-match","","1","1","100.00",1.01,1.01,"0",0,,"0.0","0.0"
"children’s books","loose-match","","20","1","5.00",0.03,0.03,"0",0,,"0.0","0.0"
"free ya fantasy","loose-match","","2","1","50.00",0.9,0.9,"0",0,,"0.0","0.0"
"teen fantasy for boys","loose-match","","1","1","100.00",0.88,0.88,"0",0,,"0.0","0.0"
"young adult coming of age fiction","loose-match","","1","1","100.00",1.22,1.22,"0",0,,"0.0","0.0"
"books boys age 16","loose-match","","2","1","50.00",1.01,1.01,"0",0,,"0.0","0.0"
"books for 14 year old boys fantasy","loose-match","","2","1","50.00",0.36,0.36,"0",0,,"0.0","0.0"
"best fantasy middle school","loose-match","","4","1","25.00",0.69,0.69,"0",0,,"0.0","0.0"
"books for teens","close-match","","78","2","2.56",2.16,1.08,"0",0,,"0.0","0.0"
"mongas books","loose-match","","1","1","100.00",1.04,1.04,"0",0,,"0.0","0.0"
"literature & fiction","loose-match","","6","1","16.67",0.71,0.71,"0",0,,"0.0","0.0"
"teen boy adventure","loose-match","","2","1","50.00",1.01,1.01,"0",0,,"0.0","0.0"
"books for 14+ fantasy","loose-match","","1","1","100.00",1.08,1.08,"0",0,,"0.0","0.0"
"fantasy books for 13 year olds","loose-match","","2","1","50.00",0.97,0.97,"0",0,,"0.0","0.0"
"kindle unlimited books ya fantasy","loose-match","","1","1","100.00",0.98,0.98,"0",0,,"0.0","0.0"
"fantasy adults books","close-match","","2","1","50.00",1.36,1.36,"0",0,,"0.0","0.0"
"book for teen boy","loose-match","","1","1","100.00",1.4,1.4,"0",0,,"0.0","0.0"
"best fantasy for 13","loose-match","","1","1","100.00",0.94,0.94,"0",0,,"0.0","0.0"
"books for 13 year old boys fantasy","loose-match","","2","1","50.00",0.79,0.79,"0",0,,"0.0","0.0"
"kids books ages 12-14 free","loose-match","","1","1","100.00",1.17,1.17,"0",0,,"0.0","0.0"
"ya magic school romance","loose-match","","1","1","100.00",1.01,1.01,"0",0,,"0.0","0.0"
"middle school books ages 12 - 14 boys","loose-match","","1","1","100.00",0.77,0.77,"0",0,,"0.0","0.0"
"top rated kindle books","loose-match","","1","1","100.00",1.85,1.85,"0",0,,"0.0","0.0"
"story books for adults","loose-match","","3","1","33.33",1.01,1.01,"0",0,,"0.0","0.0"
"book series for high schoolers","loose-match","","3","1","33.33",0.26,0.26,"0",0,,"0.0","0.0"
"fantasy books for 14 year old boys","loose-match","","2","2","100.00",1.94,0.97,"0",0,,"0.0","0.0"
"christian adventure books for young adults","loose-match","","2","1","50.00",1.01,1.01,"0",0,,"0.0","0.0"
"clean ya adventure books","loose-match","","1","1","100.00",0.96,0.96,"0",0,,"0.0","0.0"
"fantasy books for young adults","complements","","19","4","21.05",3.36,0.84,"1",2.99,"112.37458193979933","0.8898809523809524","25.0"
"easy read books for adults","loose-match","","1","1","100.00",1.56,1.56,"0",0,,"0.0","0.0"
"teen books 13-14 kindle","loose-match","","1","1","100.00",2.02,2.02,"0",0,,"0.0","0.0"
"fantasy books teens","close-match","","2","1","50.00",1.3,1.3,"0",0,,"0.0","0.0"
"christian ya adventure","loose-match","","1","1","100.00",0.29,0.29,"0",0,,"0.0","0.0"
"adventure books teen","close-match","","2","1","50.00",0.98,0.98,"0",0,,"0.0","0.0"
"children's best seller books","loose-match","","1","1","100.00",1.29,1.29,"0",0,,"0.0","0.0"
"children's books kindle unlimited","loose-match","","1","1","100.00",1.01,1.01,"0",0,,"0.0","0.0"
"adventure books for teens","close-match","","6","2","33.33",2.46,1.23,"0",0,,"0.0","0.0"
"2019 best books of the year","loose-match","","4","1","25.00",1.01,1.01,"0",0,,"0.0","0.0"
"books for 12-15 years old","loose-match","","2","1","50.00",1.2,1.2,"0",0,,"0.0","0.0"
"young adult high fantasy","loose-match","","1","1","100.00",1.28,1.28,"0",0,,"0.0","0.0"
"middle school kindle unlimited","loose-match","","1","1","100.00",0.79,0.79,"0",0,,"0.0","0.0"
"free kindle books for teens 12-14","loose-match","","1","1","100.00",1.12,1.12,"0",0,,"0.0","0.0"
"top books for teen boys","loose-match","","6","1","16.67",1.01,1.01,"0",0,,"0.0","0.0"
"high fantasy books for teens","loose-match","","1","1","100.00",1.11,1.11,"0",0,,"0.0","0.0"
"kids fantasy","loose-match","","1","1","100.00",0.86,0.86,"0",0,,"0.0","0.0"
"best new action ya books","loose-match","","1","1","100.00",1.01,1.01,"0",0,,"0.0","0.0"
"young adult christian free kindle","loose-match","","2","1","50.00",1.65,1.65,"0",0,,"0.0","0.0"
"kids books ages 14 16","loose-match","","1","1","100.00",0.22,0.22,"0",0,,"0.0","0.0"
"best novels for high schoolers","loose-match","","1","1","100.00",1.01,1.01,"0",0,,"0.0","0.0"
"13 romance books","loose-match","","1","1","100.00",0.99,0.99,"0",0,,"0.0","0.0"
"free kindle books","loose-match","","2117","3","0.14",2.2,0.73,"0",0,,"0.0","0.0"
"best series books for adults","loose-match","","3","1","33.33",1.01,1.01,"0",0,,"0.0","0.0"
"kids books","loose-match","","14","1","7.14",1.23,1.23,"0",0,,"0.0","0.0"
"good books for teens fantasy","loose-match","","1","1","100.00",1.41,1.41,"0",0,,"0.0","0.0"
"free teen books for boys ages 14 16","loose-match","","2","1","50.00",1.29,1.29,"0",0,,"0.0","0.0"
"ya free books","loose-match","","3","1","33.33",1.01,1.01,"0",0,,"0.0","0.0"
"young adult books","loose-match","","53","2","3.77",4.01,2,"0",0,,"0.0","0.0"
"fantasy romance books ages 14-16","loose-match","","2","1","50.00",0.78,0.78,"0",0,,"0.0","0.0"
"christian teen fiction","loose-match","","1","1","100.00",0.19,0.19,"0",0,,"0.0","0.0"
"13 year old books","loose-match","","2","1","50.00",1.19,1.19,"0",0,,"0.0","0.0"
"age 9-12 free books","loose-match","","1","1","100.00",0.94,0.94,"0",0,,"0.0","0.0"
"best teen books","loose-match","","2","1","50.00",1.01,1.01,"0",0,,"0.0","0.0"
"books for 14 year old romance","loose-match","","2","1","50.00",0.98,0.98,"0",0,,"0.0","0.0"
"fantasy for 15 year old boy","loose-match","","3","1","33.33",1.01,1.01,"0",0,,"0.0","0.0"